informal,formal
این قاب و خریدم چیزی که به دستم رسید با قاب سیلیکونی فرق داره تقریبا میشه گفت ژله ایه! من مرجوع نمیکنم چون بدک نیست,این قاب را خریدم و می‌توان گفت که با قاب سیلیکونی تفاوت دارد، تقریباً می‌توان آن را ژله‌ای توصیف کرد. من قصد برگشت ندارم زیرا کیفیت آن بد نیست.
من ۶ ماه پیش از دیجی کالا گرفتم ، خیلی خوبه ، از مسواک معمولی خیلی بهتره ولی انتظار سفیدی در حد برف رو نداشته باشین,من شش ماه پیش از دیجی کالا خرید کردم. کیفیت آن خیلی خوب است. این مسواک بهتر از مسواک معمولی است، اما انتظار سفیدی در حد برف را نداشته باشید.
ماندگاریش خوبه البته افسوس چون بوش به معنای واقعی شیمیاییه و کاملا مشهوده که اسانسهای غیر طبیعی در ساختش استفاده شده,ماندگاری آن بسیار خوب است، البته افسوس که بوی آن به معنای واقعی شیمیایی است و استفاده از اسانس‌های غیر طبیعی در ساخت آن کاملاً مشهود است.
خیلی خشک کنه خوبیه فکر کنم یک ساله دارم دو تا از دایی هام و یکی از خاله هام دارن و واسه یه دایی دیگم هم میخوام بگیرم,خشک کن خوبی است. فکر می‌کنم آن را یک سال استفاده کرده‌ام. دو تا از دایی‌هایم و یکی از خاله‌هایم هم دارند و برای یک دایی دیگر هم می‌خواهم بخرم.
خیلی قشنگه. من از چسب خودش استفاده کردم ولی هیچ کدوم نیافتاد.فقط برای فضای خونه ام یکی کم بود و یکی دیگه سفارش دادم.,خیلی زیباست. من از چسب خودش استفاده کردم، اما هیچ کدام را پیدا نکردم. فقط برای فضای خانه‌ام یکی کم بود و یکی دیگر را سفارش دادم.
این یکی از بهترین عطرهاست که دیدم و این مدلش به دلیل غلظت بالاتر نسبت به مدل معمولی ماندگاری بیشتری و عطر بهتری داره,این یکی از بهترین عطرهاست که دیده‌ام و این مدل به دلیل غلظت بالاتر نسبت به مدل معمولی، ماندگاری بیشتری و عطر بهتری دارد.
با سلام. این مدل رکوردر ، مموری با حجم بالا رو جواب نمیده. از میکرو اس دی ۲ یا ۴ گیگ استفاده کنید حتما جواب میگیرید.,با سلام. این مدل رکوردر، مموری با حجم بالا را جواب نمی‌دهد. از میکرو اس دی ۲ یا ۴ گیگابایت استفاده کنید حتماً جواب می‌گیرید.
بسیار عالی ولی با توجه به افزایش شدید قیمتها توجیه اقتصادی ندارد و این محصولات عملا از دسترس طبقه متوسط خارج شده است,بسیار عالی است، اما با توجه به افزایش شدید قیمت‌ها، توجیه اقتصادی ندارد و این محصولات عملاً از دسترس طبقه متوسط خارج شده‌اند.
بدرد کسانی میخوره،که در ماه فقط دو سه تا جوش میزنن و میخان زود خشک بشه نه یکی مثل من که جوشهام زیادن... چون حجمش کمه,بدرد کسانی می‌خورد که در ماه فقط دو یا سه جوش بزنند و می‌خواهند زود خشک شود، نه مثل من که جوش‌هایم زیاد است، زیرا حجم آنها کم است.
واقعا راضی هستم  قدرت پاککندگی بسیار بالایی داره با مسواک دستی هیچ وقت به این درجه از تمیزی و جرم برداری نرسیده بودم,واقعاً راضی هستم. قدرت پاک‌کنندگی آن بسیار بالاست. با استفاده از مسواک دستی، هیچ‌گاه به این درجه از تمیزی و جرم‌برداری نرسیده بودم.
این مدل آون توستر کارایی بالایی داره، من تو هیچ کدوم از آون توستر های دیگه این همه قطعه و کاراای رو ندیدم واقعا خوبه,این مدل آون توستر، کارایی بالایی دارد. من تاکنون در هیچ کدام از آون توسترهای دیگر، این همه قطعه و کارایی را ندیده‌ام. واقعاً خوب است.
گوشی خوبیه ازش تقریبا راضیم ولی قیمتش بالاست نمی ارزه به نظر من میتونید ایفون ۷ کارکرده بگیرید که خیلی بهتره از اینه,گوشی خوبی است. از آن تقریباً راضی هستم، اما قیمت آن بالاست و به نظرم ارزش خرید آن را ندارد. می‌توانید یک آیفون ۷ کارکرده بخرید که بهتر است از این گوشی.
سلام من این کار رو برای هدیه به استاد دانشگاهمون تقدیم کردم هم قیمت مناسب و هم جنس اجزای خوبی داره کمربند و کیف متوسط,سلام. من این کار را برای هدیه به استاد دانشگاهمان تقدیم کردم. هم قیمت مناسب و هم جنس اجزای خوبی دارد. کمربند و کیف متوسط.
اصلا یه بازوی مناسب برای چرخش به اطراف نداره. چون اینجوریه بعدشم کیفیت بد پلاستیک ولی اگه یه بازوی مناسب داشت خوب بود,اصلاً یک بازوی مناسب برای چرخش به اطراف ندارد. زیرا اینگونه است و بعد از آن هم کیفیت پلاستیک بد است. اما اگر یک بازوی مناسب داشت، خوب بود.
یک ماه بعد از خرید هم نوشتم بسیار زیبا و کاربردیست، اما با توجه به بدنه شیشه ای حتما در کاور مناسب میباید استفاده شود,یک ماه بعد از خرید، همانطور که نوشتم، بسیار زیبا و کاربردی است. اما با توجه به بدنه شیشه‌ای آن، حتما باید از یک کاور مناسب استفاده شود.
من پنج ساله که دارمش؛ استفاده زیادی هم میکنم ازش و تا الان فقط یک بار کارتریجش رو شارژ کردم. از همه نظر عالی و بی نقص,من پنج سال است که از آن استفاده می‌کنم؛ همچنین تاکنون فقط یک بار کارتریج آن را شارژ کرده‌ام. از هر لحاظ عالی و بی‌نقص است.
